"","Trial","Bath","backmortProp","backmortNum","Location","Predmass","Temp.C","Temp.F","Temp1","Temp2","Pred","Surv","Counter","Observer","Eggs.","Molt.","Dead","Numeaten","Temp2C","Scaledpredmass"
"21","3","13",0.0693612893944225,6.93612893944225,"2",0.0196851851851852,32,89.6,88.9,91.2,"Indica",1,"","Z","N","N",99,92.0638710605577,32.8888888888889,-0.681298797262319
"22","3","14",0.0164494661851652,1.64494661851652,"2",0.0196851851851852,4,39.2,43.9,46,"Indica",61,"","Z","N","N",39,37.3550533814835,7.77777777777778,-0.136286930796035
"23","3","16",0.0448138517200951,4.48138517200951,"2",0.0196851851851852,25,77,77.2,77.2,"Indica",14,"","Z","N","N",86,81.5186148279905,25.1111111111111,0.106670166303393
"24","4","1",0.0660235957839075,6.60235957839075,"5",0.0196851851851852,32,89.6,89.6,89.6,"Indica",21,"Z","L","N","N",79,72.3976404216093,32,-0.26761509139032
"25","4","5",0.0319896592816395,3.19896592816395,"3",0.0196851851851852,20,68,67.1,66.6,"Indica",60,"Z","Z","N","N",40,36.801034071836,19.2222222222222,0.0278732699468217
"26","4","6",0.0603518223860803,6.03518223860803,"5",0.0196851851851852,30,86,88,86.7,"Indica",11,"Z","L","N","N",89,82.964817761392,30.3888888888889,0.297095999165107
"27","4","10",0.0213234845604895,2.13234845604895,"2",0.0196851851851852,12,53.6,54.1,54,"Indica",87,"Z","L","N","N",13,10.8676515439511,12.2222222222222,0.303662407194821
"28","5","2",0.0583221701187547,5.83221701187547,"5",0.0196851851851852,30,86,85.6,85.6,"Indica",60,"L","Z","N","N",40,34.1677829881245,29.7777777777778,0.152635022511393
"29","5","3",0.032505519139959,3.2505519139959,"1",0.0196851851851852,20,68,67.1,67.1,"Indica",65,"Z","L","N","N",35,31.7494480860041,19.5,0.231431918867964
"30","5","4",0.0484879169023883,4.84879169023883,"2",0.0196851851851852,27,80.6,79.7,79.7,"Indica",94,"Z","Z","N","N",6,1.15120830976117,26.5,0.0607053100953928
"31","5","5",0.0167734925376622,1.67734925376622,"1",0.0196851851851852,5,39.2,46.6,46.6,"Indica",76,"Z","L","N","N",24,22.3226507462338,8.11111111111111,-0.0903220745880353
"32","5","10",0.0427383677911788,4.27383677911788,"4",0.0196851851851852,25,77,75.7,75.7,"Indica",77,"Z","L","N","N",23,18.7261632208821,24.2777777777778,0.205166286749107
"33","5","11",0.0211859339428622,2.11859339428622,"6",0.0196851851851852,12,53.6,53.8,53.8,"Indica",57,"L","Z","N","N",43,40.8814066057138,12.1111111111111,0.146068614481678
"34","5","16",0.0753494739436669,7.53494739436669,"1",0.0196851851851852,35,95,93.9,93.9,"Indica",40,"L","Z","N","N",60,52.4650526056333,34.3888888888889,0.205166286749107
"35","7","2",0.0638161541979232,6.38161541979232,"6",0.0196851851851852,32,89.6,86.4,88.5,"Indica",91,"Z","Z","N","N",9,2.61838458020768,31.3888888888889,0.244564734927392
"36","7","3",0.0748900879753349,7.48900879753349,"1",0.0196851851851852,35,95,94.8,93.7,"Indica",9,"L","Z","N","N",91,83.5109912024665,34.2777777777778,-0.129720522766321
"37","7","5",0.0162897689074833,1.62897689074833,"2",0.0196851851851852,4,39.2,43.9,45.7,"Indica",93,"Z","Z","N","N",7,5.37102310925166,7.61111111111111,0.17890065463025
"38","7","6",0.0336688567529747,3.36688567529747,"5",0.0196851851851852,20,68,68.5,68.2,"Indica",75,"L","Z","N","N",25,21.6331143247025,20.1111111111111,-0.45147451622232
"39","7","8",0.047133438049251,4.7133438049251,"2",0.0196851851851852,25,77,76.3,78.8,"Indica",95,"L","Z","N","N",5,0.286656195074904,26,NA
"40","7","11",0.0207113096444836,2.07113096444836,"1",0.0196851851851852,12,53.6,54.1,53.1,"Indica",93,"L","L","N","N",7,4.92886903555164,11.7222222222222,-0.464607332281748
"41","7","13",0.0594211856060075,5.94211856060075,"4",0.0196851851851852,30,86,87.6,86.2,"Indica",90,"L","L","N","N",10,4.05788143939925,30.1111111111111,0.0672717181251073
"42","7","15",0.0524466613685228,5.24466613685228,"5",0.0196851851851852,27,80.6,81.9,82.2,"Indica",63,"L","L","N","N",37,31.7553338631477,27.8888888888889,-0.425208884103463
"43","7","16",0.0767432008487783,7.67432008487783,"1",0.0196851851851852,35,95,95.9,94.5,"Indica",59,"L","L","N","N",41,33.3256799151222,34.7222222222222,0.237998326897678
"44","8","3",0.077922654515352,7.7922654515352,"2",0.0196851851851852,35,95,94.5,95,"Indica",7,"Z","Z","Y","N",93,85.2077345484648,35,-0.241349459271464
